period,entity,beginning_cash,ending_cash
2023-01-01,SaaS HoldCo,2500000.0,2347075.83
2023-02-01,SaaS HoldCo,2347075.83,2199603.23
2023-03-01,SaaS HoldCo,2199603.23,2239253.68
2023-04-01,SaaS HoldCo,2239253.68,2074984.05
2023-05-01,SaaS HoldCo,2074984.05,2100510.46
2023-06-01,SaaS HoldCo,2095510.46,2095510.46
2023-07-01,SaaS HoldCo,1980925.36,1984752.83
2023-08-01,SaaS HoldCo,1984752.83,1808051.72
2023-09-01,SaaS HoldCo,1808051.72,1670317.7
2023-10-01,SaaS HoldCo,1670317.7,1639056.76
2023-11-01,SaaS HoldCo,1639056.76,1693493.65
2023-12-01,SaaS HoldCo,1693493.65,1762770.59
2024-01-01,SaaS HoldCo,1762770.59,1726574.32
2024-02-01,SaaS HoldCo,1726574.32,1836922.19
2024-03-01,SaaS HoldCo,1836922.19,1674087.74
2024-04-01,SaaS HoldCo,1674087.74,1527459.5
2024-05-01,SaaS HoldCo,1527459.5,1446904.02
2024-06-01,SaaS HoldCo,1446904.02,1446904.02
2024-07-01,SaaS HoldCo,1269174.75,1303635.3
2024-08-01,SaaS HoldCo,1303635.3,1343710.28
2024-09-01,SaaS HoldCo,1343710.28,1375151.37
2024-10-01,SaaS HoldCo,1375151.37,1361950.99
2024-11-01,SaaS HoldCo,1361950.99,1361950.99
2024-12-01,SaaS HoldCo,1248961.71,1344044.87
