customer_id,customer_name,industry,region,country,signup_date,acquisition_channel,account_status,plan_name,billing_frequency
CUST0001,Harmon-Ramirez,Education,APAC,Australia,2024-08-17,Paid Search,Active,Basic,Monthly
CUST0002,Kaufman-Harris,Saas,EMEA,Germany,2024-06-05,Outbound,Active,Basic,Monthly
CUST0003,Simpson-Norton,Unknown,APAC,Singapore,2024-08-12,Outbound,Churned,Basic,Annual
CUST0004,Hunter Ltd,Unknown,APAC,Singapore,2025-11-16,Paid Search,Active,Growth,Monthly
CUST0005,Orozco Plc,Manufacturing,North America,Usa,2025-12-13,Referral,Active,Growth,Annual
CUST0006,Ellis Ltd,Healthcare,APAC,Australia,2025-06-28,Referral,Active,Enterprise,Monthly
CUST0007,Christensen Llc,Fintech,North America,Canada,2025-12-14,Referral,Active,Growth,Monthly
CUST0008,Mitchell-Bell,Healthcare,EMEA,Netherlands,2024-11-17,Organic,Active,Enterprise,Monthly
CUST0009,Adkins-Rice,Retail,APAC,Unknown,2026-03-07,Referral,Active,Pro,Monthly
CUST0010,Drake Group,Education,North America,Usa,2024-10-20,Paid Search,Active,Growth,Monthly
CUST0011,Martinez-Evans,Unknown,North America,Canada,2026-03-02,Paid Search,Churned,Growth,Monthly
CUST0012,Estrada-Jackson,Education,North America,Canada,2026-03-08,Referral,Paused,Growth,Monthly
CUST0013,Mccoy Ltd,Saas,North America,Usa,2024-11-01,Paid Search,Unknown,Growth,Annual
CUST0014,Lozano Inc,Unknown,APAC,India,2026-04-03,Partner,Active,Basic,Annual
CUST0015,Saunders-Cannon,Manufacturing,APAC,Australia,2025-06-26,Outbound,Active,Pro,Annual
CUST0016,"Garrison, Boyd And Williams",Retail,Unknown,Usa,2025-05-07,Organic,Active,Growth,Monthly
CUST0017,Simmons-Kramer,Retail,APAC,India,2024-05-18,Referral,Active,Enterprise,Monthly
CUST0018,Holland-Gillespie,Healthcare,Unknown,Canada,2025-06-25,Paid Search,Active,Growth,Monthly
CUST0019,Stanley And Sons,Fintech,APAC,India,2025-02-11,Organic,Unknown,Unknown,Annual
CUST0020,Burgess Group,Fintech,APAC,Australia,2025-06-11,Paid Search,Active,Basic,Monthly
CUST0021,Armstrong And Sons,Saas,APAC,Australia,2024-06-21,Partner,Churned,Growth,Annual
CUST0022,Young Inc,Education,North America,Usa,2025-04-25,Partner,Unknown,Basic,Annual
CUST0023,Reyes Llc,Manufacturing,EMEA,Netherlands,2025-04-10,Paid Search,Active,Growth,Monthly
CUST0024,Butler Ltd,Unknown,APAC,India,2024-09-01,Partner,Paused,Basic,Annual
CUST0025,Parsons Group,Fintech,EMEA,Germany,2024-09-23,Paid Search,Active,Basic,Annual
