gl_txn_id,txn_date,account_code,account_name,department,cost_center,vendor_customer,amount,dr_cr,entity,memo,account_category
GL0000001,2023-01-07,6200.0,research and development,Engineering,CC400,Richmond-Payne,8193.51,DR,SaaS HoldCo,Google Ads,R&D
GL0000002,2023-01-25,6100.0,s&m,Sales,CC300,Castillo and Sons,5965.67,DR,SaaS US,Refund,Sales & Marketing
GL0000003,2023-01-10,1010.0,cash,Marketing,CC200,"Baker, Evans and Contreras",-20308.78,CR,SaaS HoldCo,Google Ads,Cash
GL0000004,2023-01-06,6100.0,s&m,Operations,Unknown,"Richardson, Castro and Alvarez",4749.86,,SaaS HoldCo,Software tools,Sales & Marketing
GL0000005,2023-01-22,5000.0,cost of service,Unknown,CC300,Morgan-Hall,2863.55,DR,SaaS Canada,Contractor costs,COGS
GL0000006,2023-01-25,6100.0,sales & marketing,Marketing,Unknown,"Johnson, Bryan and Martinez",-15736.75,CR,SaaS US,Refund,Sales & Marketing
GL0000007,2023-01-19,6300.0,general and administrative,Unknown,CC100,Kim LLC,-24711.58,CR,SaaS US,Contractor costs,G&A
GL0000008,2023-01-19,6200.0,research and development,Unknown,CC100,"Wagner, Adams and Curry",14199.72,DR,SaaS HoldCo,Reclass,R&D
GL0000009,2023-01-17,6100.0,s&m,Finance,Unknown,"Saunders, Sanders and Payne",15238.51,DR,SaaS HoldCo,Reclass,Sales & Marketing
GL0000010,2023-01-01,6100.0,s&m,Operations,CC400,Smith Group,-8028.05,CR,SaaS HoldCo,Reclass,Sales & Marketing
GL0000011,2023-01-20,6200.0,r&d,Unknown,Unknown,Stewart Group,-22557.36,CR,SaaS US,Google Ads,R&D
GL0000012,2023-01-15,6300.0,general and administrative,Unknown,CC100,Smith-Roberts,16240.59,DR,SaaS US,AWS hosting,G&A
GL0000013,2023-01-16,6200.0,research and development,Sales,CC100,Cruz-Allen,-5700.14,CR,SaaS HoldCo,Software tools,R&D
GL0000014,2023-01-11,6300.0,g&a,Unknown,Unknown,Estrada Inc,5219.44,DR,SaaS HoldCo,Payroll,G&A
GL0000015,2023-01-16,6300.0,general and administrative,Finance,Unknown,Wyatt LLC,-1939.61,CR,SaaS Canada,AWS hosting,G&A
GL0000016,2023-01-07,6200.0,r&d,Unknown,CC100,"Sexton, Taylor and Hughes",6026.08,,SaaS Canada,Refund,R&D
GL0000017,2023-01-21,6100.0,sales & marketing,Engineering,CC400,"Perkins, Wright and Baker",13804.21,DR,SaaS US,AWS hosting,Sales & Marketing
GL0000018,2023-01-22,5000.0,cost of service,Marketing,CC100,Rivera PLC,5046.49,DR,SaaS US,Reclass,COGS
GL0000019,2023-01-09,9999.0,misc expense,Unknown,CC300,Miller Ltd,-2872.76,CR,SaaS US,Software tools,Other
GL0000020,2023-01-10,6100.0,sales & marketing,Unknown,Unknown,"Smith, Simmons and Frank",11028.55,DR,SaaS HoldCo,Google Ads,Sales & Marketing
GL0000021,2023-01-26,1010.0,cash,Engineering,CC200,"Pena, Herrera and Schmidt",-10848.1,,SaaS US,Unknown,Cash
GL0000022,2023-01-27,6100.0,s&m,Finance,CC200,Gonzalez Inc,-23661.37,CR,SaaS US,AWS hosting,Sales & Marketing
GL0000023,2023-01-07,6100.0,sales & marketing,Unknown,Unknown,"Villarreal, Marks and Jones",17067.54,DR,SaaS US,Contractor costs,Sales & Marketing
GL0000024,2023-01-18,6100.0,sales and marketing,Unknown,Unknown,"Hines, Walker and Villarreal",10585.49,DR,SaaS US,Reclass,Sales & Marketing
GL0000025,2023-01-18,6300.0,general and administrative,Operations,CC100,Collins PLC,19961.78,DR,SaaS Canada,Refund,G&A
GL0000026,2023-01-07,5000.0,cost of service,Engineering,Unknown,Peterson LLC,9222.37,DR,SaaS HoldCo,Reclass,COGS
GL0000027,2023-01-01,6100.0,sales and marketing,Finance,Unknown,"Mccann, Bennett and Phillips",-23688.79,CR,SaaS HoldCo,Payroll,Sales & Marketing
GL0000028,2023-01-02,6200.0,r&d,Finance,CC200,Villanueva PLC,22803.12,DR,SaaS US,Payroll,R&D
GL0000029,2023-01-20,6300.0,g&a,Unknown,CC100,Serrano-Carter,12454.66,DR,SaaS US,Payroll,G&A
GL0000030,2023-01-27,6300.0,general and administrative,Operations,CC300,Christian Group,20477.13,DR,SaaS HoldCo,Unknown,G&A
GL0000031,2023-01-01,6300.0,g&a,Unknown,CC200,Gonzalez Group,19022.28,DR,SaaS US,Reclass,G&A
GL0000032,2023-01-01,6200.0,research and development,Finance,CC100,Chan-Schultz,-14235.77,DR,SaaS US,AWS hosting,R&D
GL0000033,2023-01-12,6300.0,g&a,Sales,Unknown,Smith-Turner,18709.84,DR,SaaS Canada,Unknown,G&A
GL0000034,2023-01-04,5000.0,cost of service,Engineering,CC300,"Palmer, Moyer and Harvey",13673.4,DR,SaaS US,Google Ads,COGS
GL0000035,2023-01-04,6200.0,r&d,Finance,CC200,Moss-Martin,-24501.72,CR,SaaS US,Google Ads,R&D
GL0000036,2023-01-25,5000.0,cost of service,Operations,CC100,Lee-Henderson,14755.07,DR,SaaS US,Google Ads,COGS
GL0000037,2023-01-26,6200.0,research and development,Unknown,CC200,Brandt-Hodges,20973.42,DR,SaaS HoldCo,Payroll,R&D
GL0000038,2023-01-18,6300.0,g&a,Operations,CC200,Walker and Sons,-7050.37,,SaaS US,Reclass,G&A
GL0000039,2023-01-15,5000.0,cost of service,Unknown,CC200,Park-Berry,15791.07,DR,SaaS US,Reclass,COGS
GL0000040,2023-01-20,6200.0,research and development,Sales,Unknown,Wilson PLC,1369.96,DR,SaaS US,Contractor costs,R&D
GL0000041,2023-01-06,9999.0,misc expense,Sales,CC300,Barber LLC,19293.54,,SaaS US,Software tools,Other
GL0000042,2023-01-18,6200.0,r&d,Unknown,CC400,George Group,-17932.06,CR,SaaS US,Reclass,R&D
GL0000043,2023-01-22,6200.0,research and development,Marketing,CC400,Porter and Sons,7530.02,DR,SaaS US,Unknown,R&D
GL0000044,2023-01-02,6200.0,r&d,Finance,Unknown,Barber-Mcdonald,-13162.8,CR,SaaS Canada,Unknown,R&D
GL0000045,2023-01-14,6200.0,r&d,Finance,CC300,Cohen Group,22999.03,DR,SaaS US,Software tools,R&D
GL0000046,2023-01-15,6100.0,s&m,Unknown,Unknown,"Wade, Rivera and Small",16717.73,DR,SaaS Canada,Unknown,Sales & Marketing
GL0000047,2023-01-07,6100.0,sales and marketing,Unknown,Unknown,Eaton PLC,24749.56,DR,SaaS HoldCo,Reclass,Sales & Marketing
GL0000048,2023-01-19,6200.0,r&d,Finance,Unknown,"Houston, Page and Johnson",15497.73,DR,SaaS US,Reclass,R&D
GL0000049,2023-01-09,6100.0,s&m,Engineering,Unknown,Williams-Woods,15786.37,DR,SaaS HoldCo,Contractor costs,Sales & Marketing
GL0000050,2023-01-13,6100.0,s&m,Operations,Unknown,"Meza, Walsh and Richard",-13889.91,CR,SaaS US,Refund,Sales & Marketing
GL0000051,2023-01-24,Unknown,cash,Unknown,CC400,Watson-Young,-3421.33,CR,SaaS US,Reclass,Cash
GL0000052,2023-01-09,6100.0,sales & marketing,Engineering,Unknown,Torres-Weber,-15714.93,CR,SaaS Canada,Contractor costs,Sales & Marketing
GL0000053,2023-01-20,6200.0,r&d,Unknown,Unknown,Whitehead-Roman,-17276.38,CR,SaaS Canada,Refund,R&D
GL0000054,2023-01-09,6300.0,g&a,Operations,CC300,Hernandez-Lowe,-14143.14,CR,SaaS Canada,Contractor costs,G&A
GL0000055,2023-01-20,6100.0,sales and marketing,Engineering,Unknown,Jordan-Mclaughlin,-20246.09,CR,SaaS US,Google Ads,Sales & Marketing
GL0000056,2023-01-26,6300.0,general and administrative,Marketing,CC100,Keith-Jordan,17007.64,DR,SaaS Canada,Unknown,G&A
GL0000057,2023-01-03,6200.0,r&d,Finance,CC400,Waller LLC,-20239.79,CR,SaaS US,Google Ads,R&D
GL0000058,2023-01-27,5000.0,cost of service,Unknown,Unknown,Jones-Wong,-15372.02,CR,SaaS Canada,AWS hosting,COGS
GL0000059,2023-01-09,6300.0,general and administrative,Unknown,CC200,Alvarado and Sons,2960.9,DR,SaaS US,Google Ads,G&A
GL0000060,2023-01-01,6100.0,sales & marketing,Operations,Unknown,Middleton-Mcintyre,8434.54,DR,SaaS Canada,Google Ads,Sales & Marketing
GL0000061,2023-01-25,6100.0,sales & marketing,Unknown,Unknown,Baker-Lynch,-13910.15,CR,SaaS Canada,Payroll,Sales & Marketing
GL0000062,2023-01-13,5000.0,cost of service,Marketing,CC200,Garcia Inc,7547.74,DR,SaaS US,Unknown,COGS
GL0000063,2023-01-01,1010.0,cash,Marketing,CC300,Page-Sanchez,10470.52,DR,SaaS HoldCo,Contractor costs,Cash
GL0000064,2023-01-07,1010.0,cash,Engineering,Unknown,Beasley PLC,6936.27,DR,SaaS Canada,Contractor costs,Cash
GL0000065,2023-01-21,9999.0,misc expense,Unknown,Unknown,"Torres, Giles and Wolf",19202.7,DR,SaaS US,Refund,Other
GL0000066,2023-01-21,5000.0,cost of service,Unknown,Unknown,Nguyen LLC,19076.79,DR,SaaS US,Reclass,COGS
GL0000067,2023-01-22,6200.0,research and development,Unknown,CC400,"Porter, Norris and Barry",-13510.5,CR,SaaS Canada,Software tools,R&D
GL0000068,2023-01-09,1010.0,cash,Operations,CC400,Morrison and Sons,13358.74,DR,SaaS US,Google Ads,Cash
GL0000069,2023-01-10,6100.0,sales and marketing,Engineering,Unknown,"Miranda, Gonzalez and Shelton",12717.79,DR,SaaS US,Unknown,Sales & Marketing
GL0000070,2023-01-14,9999.0,misc expense,Unknown,Unknown,Graves Ltd,11967.53,DR,SaaS HoldCo,Google Ads,Other
GL0000071,2023-01-12,6100.0,sales and marketing,Sales,Unknown,Wilson-Wood,-2353.08,CR,SaaS US,AWS hosting,Sales & Marketing
