period,channel,campaign_name,spend,leads,won_customers,cac
2023-01-01,Paid Search,Paid Search Campaign 2023-01,9242.36,327.0,11,840.21
2023-01-01,LinkedIn,LinkedIn Campaign 2023-01,28236.1,383.0,22,1283.46
2023-01-01,Partner,Partner Campaign 2023-01,24068.86,221.0,34,707.91
2023-01-01,Outbound,Outbound Campaign 2023-01,7213.86,297.0,0,
2023-01-01,Organic,Organic Campaign 2023-01,2609.32,397.0,28,93.19
2023-01-01,Paid Search,paid search Campaign 2023-01,26023.08,427.0,8,3252.88
2023-01-01,Partner,PARTNER Campaign 2023-01,15691.21,99.0,28,560.4
2023-02-01,Paid Search,Paid Search Campaign 2023-02,21504.4,456.0,11,1954.95
2023-02-01,LinkedIn,LinkedIn Campaign 2023-02,13709.47,177.0,27,507.76
2023-02-01,Partner,Partner Campaign 2023-02,18753.03,160.0,25,750.12
2023-02-01,Outbound,Outbound Campaign 2023-02,25858.02,173.0,25,1034.32
2023-02-01,Organic,Organic Campaign 2023-02,1416.9,61.0,10,141.69
2023-02-01,Paid Search,paid search Campaign 2023-02,24187.62,259.0,9,2687.51
2023-02-01,Partner,PARTNER Campaign 2023-02,15903.76,488.0,34,467.76
2023-03-01,Paid Search,Paid Search Campaign 2023-03,10219.32,260.0,14,729.95
2023-03-01,LinkedIn,LinkedIn Campaign 2023-03,10538.33,72.0,10,1053.83
2023-03-01,Partner,Partner Campaign 2023-03,27410.56,384.0,19,1442.66
2023-03-01,Outbound,Outbound Campaign 2023-03,12292.98,457.0,7,1756.14
2023-03-01,Organic,Organic Campaign 2023-03,2633.99,391.0,21,125.43
2023-03-01,Paid Search,paid search Campaign 2023-03,25834.14,0.0,35,738.12
2023-03-01,Partner,PARTNER Campaign 2023-03,17062.16,432.0,6,2843.69
2023-04-01,Paid Search,Paid Search Campaign 2023-04,21166.08,373.0,21,1007.91
2023-04-01,LinkedIn,LinkedIn Campaign 2023-04,26379.08,265.0,14,1884.22
2023-04-01,Partner,Partner Campaign 2023-04,19866.64,351.0,30,662.22
2023-04-01,Organic,Organic Campaign 2023-04,756.82,213.0,20,37.84
2023-04-01,Paid Search,paid search Campaign 2023-04,17830.14,428.0,19,938.43
2023-04-01,Partner,PARTNER Campaign 2023-04,21922.8,396.0,5,4384.56
2023-05-01,Paid Search,Paid Search Campaign 2023-05,13663.68,195.0,21,650.65
2023-05-01,LinkedIn,LinkedIn Campaign 2023-05,14667.54,307.0,32,458.36
2023-05-01,Outbound,Outbound Campaign 2023-05,5888.37,140.0,32,184.01
2023-05-01,Organic,Organic Campaign 2023-05,1752.04,221.0,14,125.15
2023-05-01,Paid Search,paid search Campaign 2023-05,22314.68,314.0,32,697.33
2023-05-01,Partner,PARTNER Campaign 2023-05,13654.01,484.0,27,505.7
2023-06-01,Paid Search,Paid Search Campaign 2023-06,8966.64,84.0,30,298.89
2023-06-01,LinkedIn,Unknown Campaign,10409.24,0.0,11,946.29
2023-06-01,Partner,Partner Campaign 2023-06,9133.18,119.0,25,365.33
2023-06-01,Outbound,Outbound Campaign 2023-06,25299.11,413.0,7,3614.16
2023-06-01,Organic,Organic Campaign 2023-06,2128.67,124.0,18,118.26
2023-06-01,Paid Search,Unknown Campaign,7482.44,285.0,39,191.86
2023-06-01,Partner,PARTNER Campaign 2023-06,7913.32,146.0,38,208.25
2023-07-01,Paid Search,Paid Search Campaign 2023-07,11320.12,296.0,19,595.8
2023-07-01,LinkedIn,LinkedIn Campaign 2023-07,25372.58,235.0,29,874.92
2023-07-01,Partner,Partner Campaign 2023-07,12405.92,152.0,21,590.76
2023-07-01,Outbound,Outbound Campaign 2023-07,8726.26,173.0,10,872.63
2023-07-01,Organic,Organic Campaign 2023-07,501.09,366.0,14,35.79
2023-07-01,Paid Search,paid search Campaign 2023-07,24626.7,197.0,17,1448.63
2023-07-01,Partner,PARTNER Campaign 2023-07,16248.2,316.0,34,477.89
2023-08-01,Paid Search,Paid Search Campaign 2023-08,9222.05,83.0,28,329.36
2023-08-01,LinkedIn,LinkedIn Campaign 2023-08,7542.56,471.0,24,314.27
2023-08-01,Partner,Partner Campaign 2023-08,27469.93,225.0,21,1308.09
2023-08-01,Outbound,Unknown Campaign,18140.4,237.0,39,465.14
2023-08-01,Organic,Organic Campaign 2023-08,752.85,0.0,10,75.28
2023-08-01,Paid Search,paid search Campaign 2023-08,21366.54,431.0,9,2374.06
2023-08-01,Partner,PARTNER Campaign 2023-08,27599.39,319.0,20,1379.97
2023-09-01,Paid Search,Paid Search Campaign 2023-09,28004.79,297.0,5,5600.96
2023-09-01,LinkedIn,LinkedIn Campaign 2023-09,18892.14,344.0,6,3148.69
2023-09-01,Partner,Unknown Campaign,22697.63,492.0,25,907.91
2023-09-01,Outbound,Outbound Campaign 2023-09,23061.04,105.0,11,2096.46
2023-09-01,Organic,Organic Campaign 2023-09,2436.13,174.0,21,116.01
2023-09-01,Paid Search,paid search Campaign 2023-09,11328.73,236.0,24,472.03
2023-09-01,Partner,PARTNER Campaign 2023-09,6297.73,194.0,32,196.8
2023-10-01,Paid Search,Paid Search Campaign 2023-10,13920.09,75.0,34,409.41
2023-10-01,LinkedIn,LinkedIn Campaign 2023-10,21336.14,194.0,10,2133.61
2023-10-01,Partner,Partner Campaign 2023-10,20046.96,0.0,21,954.62
2023-10-01,Outbound,Outbound Campaign 2023-10,6085.75,182.0,23,264.6
2023-10-01,Organic,Organic Campaign 2023-10,782.69,261.0,23,34.03
2023-10-01,Paid Search,paid search Campaign 2023-10,6320.93,277.0,39,162.08
2023-10-01,Partner,PARTNER Campaign 2023-10,29453.79,84.0,32,920.43
2023-11-01,Paid Search,Paid Search Campaign 2023-11,7594.68,494.0,35,216.99
2023-11-01,LinkedIn,LinkedIn Campaign 2023-11,11310.11,410.0,0,
2023-11-01,Partner,Partner Campaign 2023-11,9677.24,360.0,29,333.7
2023-11-01,Outbound,Outbound Campaign 2023-11,9229.03,460.0,0,
2023-11-01,Organic,Unknown Campaign,1314.69,56.0,8,164.34
2023-11-01,Paid Search,paid search Campaign 2023-11,10148.86,141.0,7,1449.84
2023-11-01,Partner,PARTNER Campaign 2023-11,9163.71,406.0,32,286.37
2023-12-01,Paid Search,Unknown Campaign,28735.86,230.0,31,926.96
2023-12-01,LinkedIn,LinkedIn Campaign 2023-12,5330.78,54.0,14,380.77
2023-12-01,Partner,Partner Campaign 2023-12,18054.04,430.0,10,1805.4
2023-12-01,Outbound,Outbound Campaign 2023-12,7708.5,261.0,36,214.12
2023-12-01,Organic,Organic Campaign 2023-12,2986.7,448.0,26,114.87
2023-12-01,Paid Search,Unknown Campaign,29259.12,122.0,11,2659.92
2023-12-01,Partner,PARTNER Campaign 2023-12,6046.48,95.0,32,188.95
2024-01-01,Paid Search,Paid Search Campaign 2024-01,16952.48,372.0,36,470.9
2024-01-01,LinkedIn,LinkedIn Campaign 2024-01,5451.25,305.0,0,
2024-01-01,Partner,Partner Campaign 2024-01,24178.97,108.0,21,1151.38
2024-01-01,Outbound,Outbound Campaign 2024-01,25545.23,414.0,34,751.33
2024-01-01,Organic,Organic Campaign 2024-01,2615.01,61.0,20,130.75
2024-01-01,Paid Search,paid search Campaign 2024-01,25507.33,148.0,22,1159.42
2024-01-01,Partner,Unknown Campaign,5896.89,447.0,26,226.8
2024-02-01,Paid Search,Paid Search Campaign 2024-02,26058.01,118.0,24,1085.75
2024-02-01,LinkedIn,LinkedIn Campaign 2024-02,14243.91,134.0,24,593.5
2024-02-01,Partner,Partner Campaign 2024-02,9471.42,130.0,11,861.04
2024-02-01,Outbound,Unknown Campaign,20991.27,117.0,38,552.4
2024-02-01,Organic,Organic Campaign 2024-02,1285.96,294.0,19,67.68
2024-02-01,Paid Search,paid search Campaign 2024-02,7546.09,220.0,38,198.58
2024-02-01,Partner,PARTNER Campaign 2024-02,27953.9,343.0,11,2541.26
2024-03-01,Paid Search,Paid Search Campaign 2024-03,25030.04,328.0,18,1390.56
2024-03-01,LinkedIn,LinkedIn Campaign 2024-03,23087.78,264.0,38,607.57
2024-03-01,Partner,Partner Campaign 2024-03,24823.19,495.0,26,954.74
2024-03-01,Outbound,Outbound Campaign 2024-03,19146.13,261.0,7,2735.16
2024-03-01,Organic,Organic Campaign 2024-03,650.78,450.0,20,32.54
2024-03-01,Paid Search,paid search Campaign 2024-03,6744.57,279.0,0,
2024-03-01,Partner,PARTNER Campaign 2024-03,17049.18,342.0,5,3409.84
2024-04-01,Paid Search,Paid Search Campaign 2024-04,27781.14,271.0,29,957.97
2024-04-01,Partner,Partner Campaign 2024-04,28404.88,194.0,13,2184.99
2024-04-01,Outbound,Outbound Campaign 2024-04,13629.28,340.0,8,1703.66
2024-04-01,Organic,Organic Campaign 2024-04,1388.07,348.0,27,51.41
2024-04-01,Paid Search,paid search Campaign 2024-04,6188.48,240.0,18,343.8
2024-04-01,Partner,PARTNER Campaign 2024-04,21611.01,201.0,5,4322.2
2024-05-01,Paid Search,Paid Search Campaign 2024-05,28584.48,110.0,8,3573.06
2024-05-01,LinkedIn,LinkedIn Campaign 2024-05,24518.65,172.0,28,875.67
2024-05-01,Partner,Partner Campaign 2024-05,29149.48,418.0,23,1267.37
2024-05-01,Outbound,Outbound Campaign 2024-05,10808.84,372.0,12,900.74
2024-05-01,Paid Search,paid search Campaign 2024-05,26377.35,100.0,33,799.31
2024-05-01,Partner,PARTNER Campaign 2024-05,25664.46,252.0,36,712.9
2024-06-01,Paid Search,Paid Search Campaign 2024-06,12160.12,373.0,37,328.65
2024-06-01,LinkedIn,Unknown Campaign,14794.21,147.0,0,
2024-06-01,Partner,Partner Campaign 2024-06,20413.56,57.0,7,2916.22
2024-06-01,Outbound,Outbound Campaign 2024-06,12544.83,439.0,14,896.06
2024-06-01,Organic,Organic Campaign 2024-06,1419.22,465.0,26,54.59
2024-06-01,Paid Search,paid search Campaign 2024-06,14762.18,184.0,14,1054.44
2024-06-01,Partner,Unknown Campaign,14719.32,333.0,18,817.74
2024-07-01,Paid Search,Paid Search Campaign 2024-07,10238.64,367.0,27,379.21
2024-07-01,LinkedIn,LinkedIn Campaign 2024-07,13541.1,52.0,19,712.69
2024-07-01,Partner,Partner Campaign 2024-07,13086.72,313.0,13,1006.67
2024-07-01,Outbound,Outbound Campaign 2024-07,26152.99,250.0,13,2011.77
2024-07-01,Organic,Organic Campaign 2024-07,2512.56,429.0,23,109.24
2024-07-01,Paid Search,Unknown Campaign,9579.94,442.0,24,399.16
2024-07-01,Partner,PARTNER Campaign 2024-07,12419.43,55.0,19,653.65
2024-08-01,Paid Search,Paid Search Campaign 2024-08,25012.34,211.0,6,4168.72
2024-08-01,LinkedIn,LinkedIn Campaign 2024-08,22668.54,344.0,15,1511.24
2024-08-01,Partner,Partner Campaign 2024-08,27507.57,297.0,33,833.56
2024-08-01,Outbound,Unknown Campaign,20221.81,289.0,31,652.32
2024-08-01,Organic,Organic Campaign 2024-08,824.15,124.0,27,30.52
2024-08-01,Paid Search,paid search Campaign 2024-08,17848.05,413.0,30,594.93
2024-08-01,Partner,PARTNER Campaign 2024-08,7288.33,288.0,13,560.64
2024-09-01,Paid Search,Unknown Campaign,14633.37,181.0,39,375.21
2024-09-01,LinkedIn,LinkedIn Campaign 2024-09,9175.34,113.0,34,269.86
2024-09-01,Partner,Unknown Campaign,7368.19,283.0,9,818.69
2024-09-01,Outbound,Outbound Campaign 2024-09,26160.56,149.0,28,934.31
2024-09-01,Organic,Organic Campaign 2024-09,2895.36,421.0,24,120.64
2024-09-01,Paid Search,Unknown Campaign,22549.52,171.0,34,663.22
2024-09-01,Partner,PARTNER Campaign 2024-09,13203.71,139.0,15,880.25
2024-10-01,Paid Search,Paid Search Campaign 2024-10,7256.32,470.0,24,302.35
2024-10-01,LinkedIn,LinkedIn Campaign 2024-10,16879.7,88.0,8,2109.96
2024-10-01,Partner,Partner Campaign 2024-10,5755.15,445.0,11,523.2
2024-10-01,Outbound,Outbound Campaign 2024-10,13690.67,326.0,19,720.56
2024-10-01,Organic,Organic Campaign 2024-10,2543.49,292.0,0,
2024-10-01,Paid Search,paid search Campaign 2024-10,15485.09,355.0,23,673.26
2024-10-01,Partner,PARTNER Campaign 2024-10,5189.23,242.0,0,
2024-11-01,Paid Search,Paid Search Campaign 2024-11,12084.08,438.0,13,929.54
2024-11-01,LinkedIn,LinkedIn Campaign 2024-11,5256.38,475.0,21,250.3
2024-11-01,Partner,Partner Campaign 2024-11,15310.98,0.0,12,1275.92
2024-11-01,Outbound,Outbound Campaign 2024-11,14470.68,365.0,10,1447.07
2024-11-01,Organic,Organic Campaign 2024-11,2558.0,289.0,29,88.21
2024-11-01,Paid Search,Unknown Campaign,9355.58,220.0,28,334.13
2024-11-01,Partner,PARTNER Campaign 2024-11,13524.89,113.0,22,614.77
2024-12-01,Paid Search,Paid Search Campaign 2024-12,6179.74,438.0,24,257.49
2024-12-01,LinkedIn,LinkedIn Campaign 2024-12,24631.22,251.0,0,
2024-12-01,Partner,Partner Campaign 2024-12,27233.9,194.0,24,1134.75
2024-12-01,Outbound,Outbound Campaign 2024-12,17715.22,334.0,34,521.04
2024-12-01,Organic,Organic Campaign 2024-12,2938.8,113.0,25,117.55
2024-12-01,Paid Search,paid search Campaign 2024-12,25005.25,486.0,38,658.03
2024-12-01,Partner,PARTNER Campaign 2024-12,7825.19,438.0,21,372.63
