subscription_id,customer_id,start_date,end_date,plan_name,mrr,arr,subscription_status,discount_pct,currency
SUB00001,CUST0001,2024-08-17,,Basic,274.85,3298.2,Active,0.0,USD
SUB00002,CUST0002,2024-06-05,,Basic,221.88,2662.56,Active,0.0,CAD
SUB00004,CUST0004,2025-11-16,,Growth,874.88,10498.56,Paused,15.0,USD
SUB00005,CUST0005,2025-12-13,2027-03-02,Growth,776.05,9312.6,Cancelled,20.0,USD
SUB00006,CUST0006,2025-06-28,,Enterprise,4885.41,58624.92,Paused,10.0,CAD
SUB00007,CUST0007,2025-12-14,,Growth,626.25,7515.0,Active,20.0,USD
SUB00008,CUST0008,2024-11-17,2026-03-11,Enterprise,4309.54,51714.48,Cancelled,20.0,USD
SUB00009,CUST0009,2026-03-07,,Pro,1286.49,15437.88,Paused,0.0,USD
SUB00010,CUST0010,2024-10-20,,Growth,677.26,8127.12,Active,10.0,CAD
SUB00011,CUST0011,2026-03-02,,Growth,860.21,10322.52,Active,10.0,CAD
SUB00012,CUST0012,2026-03-08,,Growth,747.05,8964.6,Paused,5.0,CAD
SUB00013,CUST0013,2024-11-01,,Growth,619.92,7439.04,Unknown,20.0,USD
SUB00014,CUST0014,2026-04-03,,Basic,221.74,2660.88,Active,0.0,USD
SUB00015,CUST0015,2025-06-26,,Pro,1278.02,15336.24,Active,15.0,USD
SUB00016,CUST0016,2025-05-07,,Growth,944.493,11333.92,Paused,0.0,CAD
SUB00017,CUST0017,2024-05-18,,Enterprise,4832.9,57994.8,Active,20.0,CAD
SUB00018,CUST0018,2025-06-25,,Growth,764.06,9168.72,Active,15.0,USD
SUB00019,CUST0019,2025-02-11,,Unknown,633.39,7600.68,Active,5.0,USD
SUB00020,CUST0020,2025-06-11,,Basic,285.8,3429.6,Paused,5.0,USD
SUB00021,CUST0021,2024-06-21,,Growth,751.96,9023.52,Active,15.0,USD
SUB00022,CUST0022,2025-04-25,,Basic,224.37,2692.44,Active,10.0,CAD
SUB00023,CUST0023,2025-04-10,,Growth,836.77,10041.24,Paused,15.0,CAD
SUB00024,CUST0024,2024-09-01,2025-05-24,Basic,310.86,3730.32,Cancelled,10.0,USD
SUB00025,CUST0025,2024-09-23,,Basic,234.33,2811.96,Active,0.0,CAD
SUB00026,CUST0026,2025-01-26,,Growth,728.66,8743.92,Paused,0.0,CAD
SUB00027,CUST0027,2025-05-17,,Growth,695.33,8343.96,Active,15.0,USD
SUB00028,CUST0028,2024-05-27,,Growth,723.55,8682.6,Active,0.0,CAD
SUB00029,CUST0029,2024-09-20,,Pro,1837.27,22047.24,Active,0.0,CAD
SUB00030,CUST0030,2025-02-15,,Basic,219.35,2632.2,Active,0.0,CAD
SUB00031,CUST0031,2025-04-17,,Growth,659.81,7917.72,Active,0.0,USD
SUB00032,CUST0032,2024-08-05,,Basic,223.09,2677.08,Active,0.0,USD
SUB00034,CUST0034,2026-03-14,2026-10-12,Pro,1413.83,16965.96,Cancelled,5.0,USD
SUB00035,CUST0035,2025-07-28,,Pro,1464.95,17579.4,Active,0.0,CAD
SUB00036,CUST0036,2024-10-02,2026-01-19,Basic,294.95,3539.4,Cancelled,0.0,USD
SUB00037,CUST0037,2025-07-01,,Pro,1535.26,18423.12,Active,5.0,USD
SUB00038,CUST0038,2025-10-08,,Enterprise,4725.58,56706.96,Active,20.0,CAD
SUB00039,CUST0039,2025-12-22,,Pro,1539.34,18472.08,Active,0.0,CAD
SUB00040,CUST0040,2024-04-17,2024-10-30,Enterprise,4455.21,53462.52,Cancelled,0.0,USD
SUB00041,CUST0041,2025-03-09,,Basic,304.19,3650.28,Active,0.0,USD
SUB00042,CUST0042,2024-10-19,,Enterprise,4028.97,48347.64,Active,5.0,USD
SUB00043,CUST0043,2025-02-12,,Enterprise,295.99,3551.88,Active,0.0,CAD
SUB00044,CUST0044,2024-06-05,,Basic,233.87,2806.44,Paused,0.0,CAD
SUB00045,CUST0045,2025-04-19,,Pro,1458.86,17506.32,Active,5.0,USD
SUB00046,CUST0046,2024-10-24,2025-05-13,Basic,269.11,3229.32,Cancelled,5.0,CAD
SUB00047,CUST0047,2024-11-01,2025-04-10,Growth,657.81,7893.72,Cancelled,10.0,USD
SUB00048,CUST0048,2024-06-29,,Basic,240.47,2885.64,Paused,0.0,USD
SUB00049,CUST0049,2025-08-19,,Unknown,749.77,8997.24,Active,0.0,USD
SUB00050,CUST0050,2025-06-16,,Pro,1491.64,17899.68,Active,0.0,CAD
SUB00051,CUST0051,2024-11-04,,Growth,664.03,7968.36,Active,5.0,USD
SUB00052,CUST0052,2024-11-02,,Pro,1419.32,17031.84,Active,10.0,CAD
SUB00053,CUST0053,2024-05-02,,Enterprise,4256.24,51074.88,Unknown,0.0,Unknown
SUB00054,CUST0054,2025-08-03,,Growth,868.64,10423.68,Active,15.0,CAD
SUB00055,CUST0055,2025-05-04,,Basic,255.94,3071.28,Active,0.0,CAD
SUB00057,CUST0057,2025-07-20,,Growth,649.6,7795.2,Paused,5.0,USD
