gl_txn_id,txn_date,period,account_code,account_name,account_category,department,cost_center,vendor_customer,amount,dr_cr,entity,memo
GL0000001,2023-01-13,2023-01-01,6100.0,s&m,Sales & Marketing,Unknown,CC300,"Buckley, Smith and Robinson",-19304.47,DR,SaaS US,Reclass
GL0000002,2023-01-18,2023-01-01,Unknown,cash,Cash,Marketing,CC100,Garcia-West,24798.35,,SaaS Canada,Refund
GL0000003,2023-01-17,2023-01-01,6300.0,g&a,G&A,Finance,CC100,Jacobs LLC,12201.17,DR,SaaS HoldCo,Refund
GL0000004,2023-01-11,2023-01-01,6300.0,g&a,G&A,Unknown,Unknown,Jarvis Inc,-15758.42,,SaaS HoldCo,Payroll
GL0000005,2023-01-16,2023-01-01,6300.0,general and administrative,G&A,Finance,Unknown,Frost Ltd,-1939.61,CR,SaaS Canada,AWS hosting
GL0000006,2023-01-07,2023-01-01,6200.0,r&d,R&D,Unknown,CC100,Logan Ltd,6026.08,,SaaS Canada,Refund
GL0000007,2023-01-21,2023-01-01,6100.0,sales & marketing,Sales & Marketing,Engineering,CC400,Robinson Ltd,13804.21,DR,SaaS US,AWS hosting
GL0000008,2023-01-22,2023-01-01,5000.0,cost of service,COGS,Marketing,CC100,Young PLC,5046.49,DR,SaaS US,Reclass
GL0000009,2023-01-09,2023-01-01,9999.0,misc expense,Other,Unknown,CC300,"Lee, Ross and Sanchez",-2872.76,CR,SaaS US,Software tools
GL0000010,2023-01-10,2023-01-01,6100.0,sales & marketing,Sales & Marketing,Unknown,Unknown,Lopez-Pham,11028.55,DR,SaaS HoldCo,Google Ads
GL0000011,2023-01-26,2023-01-01,1010.0,cash,Cash,Engineering,CC200,Bender PLC,-10848.1,,SaaS US,Unknown
GL0000012,2023-01-27,2023-01-01,6100.0,s&m,Sales & Marketing,Finance,CC200,Stephens Group,-23661.37,CR,SaaS US,AWS hosting
GL0000013,2023-01-07,2023-01-01,6100.0,sales & marketing,Sales & Marketing,Unknown,Unknown,"Booth, Curtis and Sanchez",17067.54,DR,SaaS US,Contractor costs
