period,revenue,new_customers,new_arr_booked,customer_signups,COGS,Cash,G&A,Other,R&D,Sales & Marketing,total_marketing_spend,marketing_won_customers,leads,cac,ending_cash,active_customers,churned_customers,churn_pct,gross_margin,burn_rate,runway_months,arr_growth_pct,arpu,ltv,ltv_cac
2023-01-01,0.0,0.0,0.0,0.0,105964.83,-20193.93,79775.08,45636.71000000001,-122229.25000000001,-67729.91,113084.79000000001,131.0,2151.0,863.24,2592706.15,0,0.0,,,-4219.250000000029,,,,,
2023-02-01,0.0,0.0,0.0,0.0,27358.689999999995,22532.9,95621.41,-6259.350000000002,104002.22,200054.83,121333.2,141.0,1774.0,860.52,2435706.8,0,0.0,,,427037.14999999997,5.70373514341785,,,,
2023-03-01,0.0,0.0,0.0,0.0,45665.700000000004,45515.58,93530.15000000001,15087.13,69210.38,134987.03,105991.48,112.0,1996.0,946.35,2474833.02,0,0.0,,,343393.26,7.206993579314864,,,,
2023-04-01,0.0,0.0,0.0,0.0,79754.70000000001,64040.090000000004,84162.03,45892.64,-14057.120000000003,26252.99,107921.56,109.0,2026.0,990.11,2568025.78,0,0.0,,,176112.6,14.581726577201175,,,,
2023-05-01,0.0,0.0,0.0,0.0,73852.47,-9677.900000000001,54599.89,9670.779999999999,-71681.35999999999,54486.21000000001,71940.32,158.0,1661.0,455.32,2603771.31,0,0.0,,,111257.21000000002,23.403169196854744,,,,
2023-06-01,0.0,0.0,0.0,0.0,120570.98,27173.600000000006,50565.43,1318.5000000000036,98987.69,198996.04,71332.59999999999,168.0,1171.0,424.6,2589706.45,0,0.0,,,469120.13999999996,5.520348049862026,,,,
2023-07-01,0.0,0.0,0.0,0.0,95641.66,97407.52,-15604.970000000005,20865.03,64411.45,82171.38,99200.87000000001,144.0,1735.0,688.89,2659604.13,0,0.0,,,226619.52000000002,11.735988718006285,,,,
2023-08-01,0.0,2.0,11182.560000000001,0.0,169873.71,41521.8,33649.62000000001,7508.709999999999,82474.62,115514.11,112093.72,151.0,1766.0,742.34,2683949.05,0,0.0,,,401512.05999999994,6.6846038198703175,inf,,,
2023-09-01,467.00000000000006,3.0,23557.800000000003,0.0,72326.11,29887.239999999998,-13701.5,42649.69,87768.77,57232.33,112718.19,124.0,1842.0,909.02,2582139.35,1,0.0,0.0,-153.87389721627406,203158.71000000002,12.70996134007742,1.1066553633515044,467.00000000000006,,
2023-10-01,2195.59,1.0,2971.92,0.0,40078.49,28029.7,13865.749999999998,76041.55,102803.71,180833.81,97946.35,182.0,1073.0,538.17,2425596.84,4,0.0,0.0,-17.2540866008681,335386.17,7.2322506321593405,-0.873845605277233,548.8975,,
2023-11-01,3130.31,4.0,43745.52,0.0,100363.12,12963.720000000001,-43663.57000000001,95623.49,110399.49,57414.659999999996,58438.32,111.0,2327.0,526.47,2320324.01,5,0.0,0.0,-31.06171912685964,221383.38999999998,10.481021227473299,13.719615602035047,626.062,,
2023-12-01,6524.5599999999995,0.0,0.0,0.0,47641.57,-27393.58,78654.57,42859.86,63749.71,146538.78999999998,98121.48,160.0,1640.0,613.26,2385954.63,7,0.0,0.0,-6.3018824257881,330060.07999999996,7.22884945674133,-1.0,932.0799999999999,,
2024-01-01,3838.52,0.0,0.0,0.0,96891.83,14589.29,-1336.1699999999955,-37410.97,52289.08,111356.23000000001,106147.16,159.0,1855.0,667.59,2386261.18,7,0.0,0.0,-24.241976074111896,255362.45000000004,9.34460481562579,,548.36,,
2024-02-01,2497.43,0.0,0.0,0.0,93882.39,-30750.08,12814.93,74496.34,-1243.2799999999916,61212.64,107550.56,165.0,1356.0,651.82,2490577.38,7,0.0,0.0,-36.59160016496959,164169.25,15.170790997705112,,356.7757142857143,,
2024-03-01,6524.5599999999995,0.0,0.0,0.0,22529.71,17485.61,93629.81,2027.0599999999968,-16054.569999999994,146978.75,116531.67,114.0,2419.0,1022.21,2360840.98,7,0.0,0.0,-2.4530619689297057,240559.13999999998,9.813973312342238,,932.0799999999999,,
2024-04-01,5832.889999999999,18.0,226287.72,18.0,4432.860000000001,23454.17,128617.73000000001,18398.92,51552.65000000001,-3718.980000000003,99002.86,100.0,1594.0,990.03,2186787.89,7,0.0,0.0,0.2400233846343749,175051.37,12.492263785196313,inf,833.2699999999999,,
2024-05-01,21318.7,11.0,115729.8,12.0,-7585.369999999999,88534.98,92481.7,55095.04,-38586.89000000001,48008.689999999995,145103.26,140.0,1424.0,1036.45,2050840.75,23,0.0,0.0,1.3558082809927434,72999.43,28.09392826765908,-0.48857233613914175,926.9,,
2024-06-01,31414.48,17.0,272941.32,19.0,53168.59,-3156.229999999996,38444.07,-39853.85,4012.6200000000026,149297.58,90813.44,116.0,1998.0,782.87,1982340.72,30,0.0,0.0,-0.6924867131335612,213508.37999999998,9.284603817423935,1.358435943032823,1047.1493333333333,,
2024-07-01,45859.85,13.0,162499.2,13.0,26834.72,58771.16,95907.52,29336.25,19484.229999999996,60824.49,87531.38,138.0,1908.0,634.29,1982340.72,46,0.0,0.0,0.41485373371260476,157191.11,12.611023104296422,-0.40463686480302796,996.9532608695652,,
2024-08-01,55218.45,10.0,125685.72,11.0,84427.27000000002,33902.68,22848.31,-54174.11,-78927.06,159992.09,121370.79000000001,155.0,1966.0,783.04,1809809.9,56,0.0,0.0,-0.5289684878876539,133122.16000000003,13.59510617916656,-0.22654560760914522,986.0437499999999,,
2024-09-01,65847.63,13.0,245236.91999999998,13.0,94143.68000000001,91662.1,26160.59,31436.260000000002,141320.09,14113.940000000002,95986.05,183.0,1457.0,524.51,1665196.14,63,1.0,0.015873015873015872,-0.42972009774687414,209890.66999999998,7.933635830501661,0.9511915912165676,1045.2004761904764,-28296.05000000001,-53.947589178471354
2024-10-01,76545.21,12.0,228139.8,13.0,107707.13,45306.71,71062.48,39928.020000000004,30460.309999999998,147898.59,66799.65,85.0,2218.0,785.88,1752594.23,73,0.0,0.0,-0.4071047685413626,280583.3,6.24625282402766,-0.0697167457493757,1048.5645205479452,,
2024-11-01,89719.35,10.0,120259.92,12.0,72290.42000000001,39169.649999999994,-15558.869999999995,-40223.630000000005,-19228.85,71630.09999999999,72560.59,135.0,1900.0,537.49,1866179.09,80,0.0,0.0,0.1942605469165792,19413.45000000001,96.12815290430083,-0.47286742602562115,1121.4918750000002,,
2024-12-01,103625.33,16.0,228835.32,16.0,-10289.449999999997,45599.29,71714.56,-23708.97,202171.19999999998,15119.710000000001,111529.32,166.0,2254.0,671.86,1908661.42,90,0.0,0.0,1.0992947380722455,175090.68999999994,10.90098748254405,0.9028394497518375,1151.3925555555556,,
2025-01-01,44986.38,13.0,313133.4,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102,0.0,0.0,1.0,-44986.38,,0.3683787974688524,441.04294117647055,,
2025-02-01,32256.98,10.0,237336.47999999998,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112,1.0,0.008928571428571428,1.0,-32256.98,,-0.24205951840333872,288.00875,32256.980000000003,
2025-03-01,44010.7,12.0,212240.04,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121,3.0,0.024793388429752067,1.0,-44010.7,,-0.10574202499337637,363.7247933884297,14670.233333333332,
2025-04-01,50230.42,20.0,329299.92,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132,0.0,0.0,1.0,-50230.42,,0.5515447509338953,380.5334848484848,,
2025-05-01,19167.67,8.0,81354.84,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150,4.0,0.02666666666666667,1.0,-19167.67,,-0.7529460681314468,127.78446666666666,4791.9175,
2025-06-01,36184.2,9.0,220836.36000000002,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157,1.0,0.006369426751592357,1.0,-36184.2,,1.7144833669392017,230.47261146496814,36184.2,
2025-07-01,22308.22,9.0,110256.4,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164,2.0,0.012195121951219513,1.0,-22308.22,,-0.5007325786387713,136.02573170731708,11154.11,
2025-08-01,35654.51,11.0,96302.88,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172,4.0,0.023255813953488372,1.0,-35654.51,,-0.12655519316792485,207.29366279069768,8913.6275,
