period,revenue,new_customers,new_arr_booked,cogs,sales_marketing,rnd,ga,total_marketing_spend,leads,marketing_won_customers,cac,ending_cash,active_customers,churned_customers,churn_pct,gross_margin,burn_rate,runway_months,arpu,ltv,ltv_cac,prior_month_arr,arr_growth_pct
2023-01-01,0.0,0,0.0,105964.83000000002,-67729.90999999999,-122229.25000000003,79775.08000000002,113084.79000000001,2151.0,131.0,863.2426717557253,2592706.15,0,0,,,-4219.25,,,,,,
2023-02-01,0.0,0,0.0,27358.690000000006,200054.83,104002.22000000002,95621.41,121333.19999999998,1774.0,141.0,860.51914893617,2435706.8,0,0,,,427037.14999999997,5.70373514341785,,,,0.0,
2023-03-01,0.0,0,0.0,45665.70000000001,134987.02999999997,69210.37999999999,93530.15000000001,105991.48000000001,1996.0,112.0,946.3525000000001,2474833.02,0,0,,,343393.26,7.206993579314864,,,,0.0,
2023-04-01,0.0,0,0.0,79754.70000000001,26252.99,-14057.120000000003,84162.02999999998,107921.56000000001,2026.0,109.0,990.1060550458717,2568025.78,0,0,,,176112.59999999998,14.581726577201177,,,,0.0,
2023-05-01,0.0,0,0.0,73852.47,54486.21000000001,-71681.36,54599.89,71940.32,1661.0,158.0,455.31848101265825,2603771.31,0,0,,,111257.21,23.403169196854748,,,,0.0,
2023-06-01,0.0,0,0.0,120570.98,198996.03999999998,98987.69,50565.43,71332.6,1171.0,168.0,424.59880952380956,2589706.45,0,0,,,469120.13999999996,5.520348049862026,,,,0.0,
2023-07-01,0.0,0,0.0,95641.66,82171.38,64411.45,-15604.970000000012,99200.87,1735.0,144.0,688.8949305555556,2659604.13,0,0,,,226619.52000000002,11.735988718006285,,,,0.0,
2023-08-01,0.0,2,11182.560000000001,169873.71,115514.11,82474.62,33649.619999999995,112093.72,1766.0,151.0,742.3425165562913,2683949.05,0,0,,,401512.05999999994,6.6846038198703175,,,,0.0,
2023-09-01,467.00000000000006,3,23557.800000000003,72326.11,57232.32999999997,87768.76999999999,-13701.499999999998,112718.19,1842.0,124.0,909.0176612903226,2582139.35,1,0,0.0,-153.87389721627406,203158.70999999996,12.709961340077424,467.00000000000006,,,11182.560000000001,1.1066553633515046
2023-10-01,2195.5899999999997,1,2971.92,40078.490000000005,180833.81000000003,102803.70999999999,13865.750000000002,97946.35,1073.0,182.0,538.1667582417583,2425596.84,4,0,0.0,-17.25408660086811,335386.17,7.2322506321593405,548.8974999999999,,,23557.800000000003,-0.8738456052772331
2023-11-01,3130.31,4,43745.52,100363.12000000002,57414.66,110399.48999999999,-43663.57000000001,58438.32,2327.0,111.0,526.4713513513514,2320324.01,5,0,0.0,-31.06171912685965,221383.39,10.481021227473297,626.062,,,2971.92,13.719615602035047
2023-12-01,6524.56,0,0.0,47641.57,146538.79,63749.71,78654.57,98121.48,1640.0,160.0,613.25925,2385954.63,7,0,0.0,-6.301882425788099,330060.08,7.2288494567413295,932.08,,,43745.52,-1.0
2024-01-01,3838.5199999999995,0,0.0,96891.83,111356.23000000001,52289.080000000016,-1336.1699999999992,106147.15999999999,1855.0,159.0,667.5922012578616,2386261.18,7,0,0.0,-24.2419760741119,255362.45000000004,9.34460481562579,548.3599999999999,,,0.0,
2024-02-01,2497.43,0,0.0,93882.39,61212.63999999999,-1243.2799999999916,12814.930000000004,107550.56,1356.0,165.0,651.8215757575757,2490577.38,7,0,0.0,-36.59160016496959,164169.25,15.170790997705112,356.7757142857143,,,0.0,
2024-03-01,6524.56,0,0.0,22529.71,146978.74999999997,-16054.569999999998,93629.81,116531.66999999998,2419.0,114.0,1022.2076315789473,2360840.98,7,0,0.0,-2.4530619689297053,240559.13999999998,9.813973312342238,932.08,,,0.0,
2024-04-01,5832.89,18,226287.72,4432.860000000001,-3718.980000000003,51552.65000000001,128617.73,99002.86,1594.0,100.0,990.0286,2186787.89,7,0,0.0,0.240023384634375,175051.37,12.492263785196313,833.2700000000001,,,0.0,
2024-05-01,21318.699999999997,11,115729.8,-7585.369999999999,48008.689999999995,-38586.89000000001,92481.7,145103.25999999998,1424.0,140.0,1036.451857142857,2050840.75,23,0,0.0,1.3558082809927434,72999.43,28.09392826765908,926.8999999999999,,,226287.72,-0.4885723361391418
2024-06-01,31414.48,17,272941.32,53168.59,149297.58000000002,4012.6200000000135,38444.07,90813.44,1998.0,116.0,782.8744827586207,1982340.72,30,0,0.0,-0.6924867131335612,213508.38000000003,9.284603817423934,1047.1493333333333,,,115729.8,1.3584359430328232
