period,entity,beginning_cash,ending_cash
2023-01-01,SaaS HoldCo,2500000.0,2590090.81
2023-02-01,SaaS HoldCo,2590090.81,2550383.2
2023-03-01,SaaS HoldCo,2550383.2,2407679.74
2023-04-01,SaaS HoldCo,2407679.74,2387046.83
2023-05-01,SaaS HoldCo,2387046.83,
2023-06-01,saas holdco,2461878.7,2411515.67
2023-07-01,SaaS HoldCo,2411515.67,2353480.56
2023-08-01,SaaS HoldCo,2353480.56,2181481.32
2023-09-01,SaaS HoldCo,2181481.32,2270938.29
2023-10-01,SaaS HoldCo,2270938.29,2327209.11
2023-11-01,saas holdco,2327209.11,2210080.9
2023-12-01,SaaS HoldCo,2210080.9,2057540.85
2024-01-01,SaaS HoldCo,2057540.85,1891027.34
2024-02-01,SaaS HoldCo,1891027.34,1861336.78
2024-03-01,SaaS HoldCo,1861336.78,1848440.53
2024-04-01,SaaS HoldCo,1848440.53,
2024-05-01,SaaS HoldCo,1706224.12,1624839.27
2024-06-01,saas holdco,1624839.27,1538219.68
2024-07-01,SaaS HoldCo,1538219.68,1526444.79
2024-08-01,SaaS HoldCo ,1526444.79,
2024-09-01,SaaS HoldCo,1474872.53,1476323.44
2024-10-01,SaaS HoldCo,1476323.44,1366800.16
2024-11-01,SaaS HoldCo,1366800.16,1440726.88
2024-12-01,SaaS HoldCo,1440726.88,1555103.93
2023-05-01,SaaS HoldCo,2387046.83,
