customer_id,customer_name,industry,region,country,signup_date,acquisition_channel,account_status,plan_name,billing_frequency
CUST0001,"Leon, Mendez and Smith",Education,apac,Australia,2025-04-19,paid search,active,Basic,monthly
CUST0002,"Adams, Sims and Levy",SaaS,EMEA,Germany,2025-10-30,Outbound,Active,Basic,Monthly
CUST0003,"Watson, Dunn and Olson",,apac,Singapore,2026-04-01,Outbound,Churned,Basic,Annual
CUST0004,"Rodriguez, Johnston and Anderson",,APAC,Singapore,2025-03-13,Paid Search,Active,Growth,Monthly
CUST0005,Johnson-Owens,Manufacturing,north america,USA,2025-03-09,REFERRAL,Active,Growth,Annual
CUST0006,Walters Group,Healthcare,apac,Australia,2025-08-03,REFERRAL,ACTIVE,enterprise ,monthly
CUST0007,Brock LLC  ,Fintech,North America,Canada,2024-05-21,REFERRAL,Active,Growth,Monthly
CUST0008,Brooks-Young,Healthcare,EMEA,Netherlands,2025-04-03,Organic,Active,Enterprise,Monthly
CUST0009,"rodriguez, lopez and silva",Retail,apac,,2025-01-13,REFERRAL,Active,Pro,monthly
CUST0010,"Lambert, Fernandez and Garcia",Education,North America,USA,2024-04-22,paid search,Active,Growth,monthly
CUST0011,"Johnson, Martin and Smith",,north america,Canada,2025-10-10,paid search,Churned,Growth,Monthly
CUST0012,Robinson-Hall  ,Education,North America,Canada,2024-05-22,REFERRAL,Paused,Growth,monthly
CUST0013,"Simmons, Mercado and Reed",SaaS,North America,USA,2024-09-06,Paid Search,,Growth,annual
CUST0014,"Horton, Smith and Thomas  ",,APAC,India,2025-03-06,Partner,Active,Basic,annual
CUST0015,Murphy LLC  ,Manufacturing,APAC,Australia,2026-02-08,Outbound,active,Pro,Annual
CUST0016,Harris and Sons,Retail,NA,USA,2026-01-12,Organic,active,Growth,Monthly
CUST0017,"Anthony, Vargas and Coffey",Retail,apac,India,2026-03-02,Referral,active,Enterprise,Monthly
CUST0018,Sanchez-Peterson,Healthcare,NA,Canada,2024-12-23,paid search,ACTIVE,Growth,Monthly
CUST0019,"Davis, Kent and Schaefer",Fintech,APAC,India,2025-10-23,Organic,,,annual
CUST0020,Maxwell PLC,Fintech,APAC,Australia,2024-06-13,paid search,ACTIVE,Basic,Monthly
CUST0021,Galvan Ltd,SaaS,APAC,Australia,2026-03-18,Partner,Churned,Growth,annual
CUST0022 ,Harmon-Cooper,Education,North America,USA,2026-02-03,Partner,,Basic,annual
CUST0023,Mayer-Anderson,Manufacturing,EMEA,Netherlands,2025-07-07,Paid Search,Active,Growth,Monthly
