gl_txn_id,txn_date,account_code,account_name,department,cost_center,vendor_customer,amount,dr_cr,entity,memo
GL0000001,2023-01-01,6200,Research and Development,Finance,CC100,Phelps-Carney,-14235.77,DR,SaaS US,AWS hosting
GL0000002,2023-01-12,6300,G&A,Sales,,Woods Inc,18709.84,DR,SaaS Canada,
GL0000003,2023-01-04,5000,Cost of Service,Engineering,CC300,Blair-Kelly,13673.4,DR,SaaS US,Google Ads
GL0000004,2023-01-04,6200,R&D,Finance,CC200,Keller-Rowland,-24501.72,CR,saas us,Google Ads
GL0000005,2023-01-25,5000,cost of service,Operations,CC100,Graham Ltd,14755.07,dr,saas us,Google Ads
GL0000006,2023-01-26,6200,Research and Development,,CC200,Anderson-Anderson,20973.42,DR,SaaS HoldCo,Payroll
GL0000007,2023-01-18,6300,G&A,Operations,CC200,Howell-Simmons,-7050.37,,saas us,Reclass
GL0000008,2023-01-15,5000,Cost of Service,,CC200,Collier and Sons,15791.07,DR,saas us,Reclass
GL0000009,2023-01-20,6200,Research and Development,Sales,,"Mitchell, Ward and Guzman",1369.96,dr,SaaS US,Contractor costs
GL0000010,2023-01-06,9999,Misc Expense,Sales,CC300,"Hansen, Nunez and Shea",19293.54,,saas us,Software tools
GL0000011,2023-01-18,6200,R&D,,CC400,Ballard Ltd,-17932.06,CR,SaaS US,Reclass
GL0000012,2023-01-22,6200,Research and Development,Marketing,CC400,Martin-Donovan,7530.02,DR,SaaS US,
GL0000013,2023-01-02,6200,R&D,Finance,,Montes Group,-13162.8,cr,SaaS Canada,
GL0000014,2023-01-14,6200,R&D,Finance,CC300,Russell Inc,22999.03,DR,SaaS US,Software tools
GL0000015,2023-01-15,6100,S&M,,,Hodge Group,16717.73,DR,SaaS Canada,
GL0000016,2023-01-07,6100,Sales and Marketing,,,Barber-Johnson,24749.56,DR,SaaS HoldCo,Reclass
GL0000017,2023-01-19,6200,R&D,Finance,,"Russell, Carrillo and Duncan",15497.73,DR,SaaS US,Reclass
GL0000018,2023-01-09,6100,S&M,Engineering,,Weiss-Coleman,15786.37,DR,SaaS HoldCo,Contractor costs
GL0000019,2023-01-13,6100,S&M,Operations,,Schwartz-Rodriguez,-13889.91,cr,saas us,Refund
GL0000020,2023-01-24,,Cash,,CC400,Morales PLC,-3421.33,CR,SaaS US,Reclass
GL0000021,2023-01-09,6100,sales & marketing,Engineering,,"Glass, Butler and Santos",-15714.93,CR,SaaS Canada,Contractor costs
GL0000022,2023-01-20,6200,R&D,,,Bonilla-Pham,-17276.38,cr,SaaS Canada,Refund
