period,channel,campaign_name,spend,leads,won_customers
2023-01-01,Paid Search,,17425.52,205.0,10
2023-01-01,LinkedIn,LinkedIn Campaign 2023-01,6389.71,157.0,21
2023-01-01,Partner,Partner Campaign 2023-01,22074.84,278.0,31
2023-01-01,Outbound,Outbound Campaign 2023-01,7395.91,468.0,30
2023-01-01,Organic,Organic Campaign 2023-01,1140.31,291.0,11
2023-01-01,paid search,paid search Campaign 2023-01,27861.39,217.0,32
2023-01-01,PARTNER,,27216.39,340.0,28
2023-02-01,Paid Search,Paid Search Campaign 2023-02,6672.59,,18
2023-02-01,LinkedIn,,9842.31,386.0,33
2023-02-01,Partner,Partner Campaign 2023-02,27572.82,381.0,27
2023-02-01,Outbound,Outbound Campaign 2023-02,23497.67,244.0,8
2023-02-01,Organic,Organic Campaign 2023-02,1423.25,284.0,0
2023-02-01,paid search,paid search Campaign 2023-02,16544.32,183.0,34
2023-02-01,PARTNER,PARTNER Campaign 2023-02,20256.08,190.0,31
2023-03-01,Paid Search,Paid Search Campaign 2023-03,19759.99,387.0,28
2023-03-01,LinkedIn,LinkedIn Campaign 2023-03,24944.45,246.0,36
2023-03-01,Partner,Partner Campaign 2023-03,27478.18,495.0,25
2023-03-01,Outbound,Outbound Campaign 2023-03,11068.83,344.0,0
2023-03-01,Organic,Organic Campaign 2023-03,2820.43,128.0,13
2023-03-01,paid search,paid search Campaign 2023-03,7744.48,321.0,27
2023-03-01,PARTNER,PARTNER Campaign 2023-03,16225.87,404.0,14
2023-04-01,Paid Search,Paid Search Campaign 2023-04,20968.11,153.0,10
2023-04-01,LinkedIn,LinkedIn Campaign 2023-04,27593.11,458.0,14
2023-04-01,Partner,Partner Campaign 2023-04,15945.46,,25
2023-04-01,Outbound,Outbound Campaign 2023-04,11688.32,299.0,24
2023-04-01,Organic,Organic Campaign 2023-04,934.66,207.0,26
2023-04-01,paid search,paid search Campaign 2023-04,20784.35,132.0,15
2023-04-01,PARTNER,PARTNER Campaign 2023-04,22252.24,368.0,27
2023-05-01,Paid Search,Paid Search Campaign 2023-05,22243.89,395.0,31
2023-05-01,LinkedIn,LinkedIn Campaign 2023-05,10734.45,371.0,24
2023-05-01,Partner,Partner Campaign 2023-05,11370.19,486.0,14
2023-05-01,Outbound,,22504.04,192.0,24
2023-05-01,Organic,Organic Campaign 2023-05,2256.95,347.0,28
2023-05-01,paid search,paid search Campaign 2023-05,25398.1,386.0,14
2023-05-01,PARTNER,PARTNER Campaign 2023-05,8477.71,262.0,21
2023-06-01,Paid Search,Paid Search Campaign 2023-06,23456.81,211.0,37
2023-06-01,LinkedIn,LinkedIn Campaign 2023-06,10737.91,83.0,30
2023-06-01,Partner,Partner Campaign 2023-06,17338.7,102.0,37
2023-06-01,Outbound,Outbound Campaign 2023-06,13914.03,209.0,19
2023-06-01,Organic,Organic Campaign 2023-06,2583.62,290.0,23
2023-06-01,paid search,paid search Campaign 2023-06,11873.88,,31
