subscription_id,customer_id,start_date,end_date,plan_name,mrr,arr,subscription_status,discount_pct,currency
SUB00001,CUST0001,2025-11-04,,Basic,274.85,3150.94,active,0.0,USD
SUB00002,CUST0002,2024-07-30,,Basic,221.88,2774.58,active,0.0,CAD
SUB00003,CUST0003,2025-08-03,,Basic,-271.49,-3346.66,Active,,US$
SUB00004,CUST0004,2024-07-18,,Growth,874.88,10391.33,Paused,15.0,USD
SUB00005,CUST0005,2025-03-03,2026-05-21,Growth,776.05,9470.94,cancelled,20.0,US$
SUB00006,CUST0006,2025-01-15,,enterprise ,4885.41,60360.26,Paused,10.0,CAD
SUB00007,CUST0007,2024-11-07,,Growth,626.25,7350.46,active,20.0,USD
SUB00008,CUST0008,2024-05-18,2025-09-09,Enterprise,4309.54,50218.8,cancelled,20.0,USD
SUB00009,CUST0009,2025-10-09,,Pro,1286.49,15476.07,Paused,0.0,USD
SUB00010,CUST0010,2024-06-08,,Growth,677.26,8238.54,Active,10.0,CAD
SUB00011,CUST0011,2025-03-16,,Growth,860.21,10569.3,active,10.0,CAD
SUB00012,CUST0012,2024-06-18,,Growth,747.05,8906.91,Paused,5.0,CAD
SUB00013,CUST0013,2024-10-08,,Growth,619.92,7469.54,,20.0,USD
SUB00014,CUST0014,2024-04-15,,Basic,221.74,2686.21,active,0.0,USD
SUB00015,CUST0015,2025-08-18,,Pro,1278.02,15957.0,Active,15.0,USD
SUB00016,CUST0016,2025-07-21,,Growth,858.63,10264.81,paused ,,cad
SUB00017,CUST0017,2024-12-16,,Enterprise,4832.9,56915.39,Active,20.0,cad
SUB00018,CUST0018,2024-04-23,,Growth,764.06,9464.41,active,15.0,Usd
SUB00019,CUST0019,2025-01-14,,,633.39,7701.19,Active,5.0,USD
SUB00020,CUST0020,2026-01-25,,Basic,285.8,3577.61,Paused,5.0,usd
SUB00021,CUST0021,2025-04-11,,Growth,751.96,8647.0,active,15.0,Usd
SUB00022,CUST0022 ,2024-04-26,,Basic,224.37,2615.62,active,10.0,CAD
SUB00023,CUST0023,2024-10-18,,Growth,836.77,10415.89,Paused,15.0,CAD
SUB00024,CUST0024,2024-10-06,2025-06-28,Basic,310.86,3905.54,cancelled,10.0,Usd
SUB00025,CUST0025 ,2024-04-16,,Basic,234.33,2832.89,active,,CAD
SUB00026,CUST0026,2026-02-22,,Growth,728.66,8623.74,Paused,0.0,CAD
SUB00027,CUST0027,2026-03-14,,Growth,695.33,8398.77,active,15.0,usd
